Crescente , Tamanho 100:,,,,Aleatorio , Tamanho 100:,,
Nome da funcao , Trocas ,Comparacoes ,Tempo,,Nome da funcao , Trocas ,Comparacoes ,Tempo
Insertionsort ,0 , 99 ,1.7e-06s,,Insertionsort , 2776 , 2783 , 1.54e-05s
Bubblesort ,0 , 99 ,7e-07s,,Bubblesort , 2684 , 4874 , 5.35e-05s
Shakesort ,0 , 99 ,7e-07s,,Shakesort , 2684 , 4566 , 4.55e-05s
Combsort ,0 , 1102 ,6.3e-06s,,Combsort ,290 , 1399 , 1.13e-05s
Quicksort Iterative ,0 , 99 ,2e-06s,,Quicksort Iterative ,152 ,736 , 4.42e-05s
Quicksort Original ,0 , 4949 , 8.44e-05s,,Quicksort Original ,152 ,734 , 1.25e-05s
Quicksort Random ,1 , 2571 , 4.13e-05s,,Quicksort Random ,149 ,755 , 1.36e-05s
,,,,,,,,
Decrescente , Tamanho 100:,,,,Iguais , Tamanho 100:,,
Nome da funcao , Trocas ,Comparacoes ,Tempo,,Nome da funcao , Trocas ,Comparacoes ,Tempo
Insertionsort , 5049 , 5049 ,4.2e-05s,,Insertionsort ,0 , 99 ,1.4e-06s
Bubblesort , 4950 , 4950 ,8.1e-05s,,Bubblesort ,0 , 99 ,7e-07s
Shakesort , 4950 , 7498 , 9.26e-05s,,Shakesort ,0 , 99 ,6e-07s
Combsort ,122 , 1102 ,7.7e-06s,,Combsort ,0 , 1102 ,5.5e-06s
Quicksort Iterative , 50 , 4951 ,0.0001616s,,Quicksort Iterative ,0 , 99 ,1.7e-06s
Quicksort Original , 50 , 4950 , 7.31e-05s,,Quicksort Original ,0 , 4949 , 7.89e-05s
Quicksort Random ,117 , 1756 , 3.14e-05s,,Quicksort Random ,0 , 4949 ,0.0001577s
,,,,,,,,
,,,,,,,,
Crescente , Tamanho 1000:,,,,Aleatorio , Tamanho 1000:,,
Nome da funcao , Trocas ,Comparacoes ,Tempo,,Nome da funcao , Trocas ,Comparacoes ,Tempo
Insertionsort ,0 ,999 ,6.2e-06s,,Insertionsort , 252330 , 252336 ,0.0014213s
Bubblesort ,0 ,999 ,3.5e-06s,,Bubblesort , 251337 , 497678 ,0.0097083s
Shakesort ,0 ,999 ,3.8e-06s,,Shakesort , 251337 , 412751 ,0.0064045s
Combsort ,0 ,19725 , 8.54e-05s,,Combsort , 4757 ,25719 , 0.000238s
Quicksort Iterative ,0 ,999 , 1.37e-05s,,Quicksort Iterative , 2175 ,13458 ,0.0005562s
Quicksort Original ,0 , 499499 , 0.010664s,,Quicksort Original , 2175 ,13456 ,0.0002875s
Quicksort Random ,1 , 460221 ,0.0050122s,,Quicksort Random , 2224 ,12575 ,0.0002837s
,,,,,,,,
Decrescente , Tamanho 1000:,,,,Iguais , Tamanho 1000:,,
Nome da funcao , Trocas ,Comparacoes ,Tempo,,Nome da funcao , Trocas ,Comparacoes ,Tempo
Insertionsort , 500499 , 500499 ,0.0080695s,,Insertionsort ,0 ,999 , 7.18e-05s
Bubblesort , 499500 , 499500 ,0.0106705s,,Bubblesort ,0 ,999 ,4.3e-06s
Shakesort , 499500 , 749998 ,0.0146459s,,Shakesort ,0 ,999 , 1.19e-05s
Combsort , 1586 ,19725 ,0.0001244s,,Combsort ,0 ,19725 ,0.0005984s
Quicksort Iterative ,500 , 499501 , 0.010702s,,Quicksort Iterative ,0 ,999 ,1.5e-05s
Quicksort Original ,500 , 499500 ,0.0093537s,,Quicksort Original ,0 , 499499 ,0.0076195s
Quicksort Random , 1167 , 167506 ,0.0031768s,,Quicksort Random ,0 , 499499 ,0.0105852s
,,,,,,,,
,,,,,,,,
Crescente , Tamanho 10000:,,,,Aleatorio , Tamanho 10000:,,
Nome da funcao , Trocas ,Comparacoes ,Tempo,,Nome da funcao , Trocas ,Comparacoes ,Tempo
Insertionsort ,0 , 9999 , 6.24e-05s,,Insertionsort , 25024070 , 25024082 ,0.0808303s
Bubblesort ,0 , 9999 , 3.97e-05s,,Bubblesort , 25014083 , 49937227 , 0.703657s
Shakesort ,0 , 9999 , 4.02e-05s,,Shakesort , 25014083 , 41933430 , 0.528103s
Combsort ,0 , 286739 ,0.0012562s,,Combsort ,63611 , 346733 ,0.0029095s
Quicksort Iterative ,0 , 9999 ,0.0002342s,,Quicksort Iterative ,29755 , 187966 ,0.0048553s
Quicksort Original ,0 , 49994999 ,0.77887s,,Quicksort Original ,29755 , 187965 , 0.003125s
Quicksort Random ,1 , 49586721 , 0.593646s,,Quicksort Random ,30040 , 180299 ,0.0030526s
,,,,,,,,
Decrescente , Tamanho 10000:,,,,Iguais , Tamanho 10000:,,
Nome da funcao , Trocas ,Comparacoes ,Tempo,,Nome da funcao , Trocas ,Comparacoes ,Tempo
Insertionsort , 50004999 , 50004999 , 0.207329s,,Insertionsort ,0 , 9999 , 3.77e-05s
Bubblesort , 49995000 , 49995000 , 0.702814s,,Bubblesort ,0 , 9999 , 2.68e-05s
Shakesort , 49995000 , 74999998 , 0.675629s,,Shakesort ,0 , 9999 , 2.68e-05s
Combsort ,20040 , 286739 ,0.0010777s,,Combsort ,0 , 286739 ,0.0008202s
Quicksort Iterative , 5000 , 49995001 , 0.376185s,,Quicksort Iterative ,0 , 9999 ,7.7e-05s
Quicksort Original , 5000 , 49995000 ,0.38407s,,Quicksort Original ,0 , 49994999 , 0.374041s
Quicksort Random ,12329 , 17007335 , 0.144134s,,Quicksort Random ,0 , 49994999 , 0.474082s
,,,,,,,,
,,,,,,,,
Crescente , Tamanho 100000:,,,,Aleatorio , Tamanho 100000:,,
Nome da funcao , Trocas ,Comparacoes ,Tempo,,Nome da funcao , Trocas ,Comparacoes ,Tempo
Insertionsort ,0 ,99999 ,0.0005713s,,Insertionsort , 18446744071908285284 , 18446744071908285297 ,10.0789s
Bubblesort ,0 ,99999 ,0.0003668s,,Bubblesort , 18446744071908185298 ,704612885 ,68.6726s
Shakesort ,0 ,99999 ,0.0003954s,,Shakesort , 18446744071908185298 , 18446744073581608304 ,50.3887s
Combsort ,0 ,3766749 ,0.0219711s,,Combsort , 815228 ,3966747 ,0.0282727s
Quicksort Iterative ,0 ,99999 ,0.0036949s,,Quicksort Iterative , 376090 ,2319944 ,0.0458247s
Quicksort Original ,Nao Rodou ,Nao Rodou , Nao Rodou,,Quicksort Original ,Nao Rodou ,Nao Rodou , Nao Rodou
Quicksort Random ,Nao Rodou ,Nao Rodou , Nao Rodou,,Quicksort Random ,Nao Rodou ,Nao Rodou , Nao Rodou
,,,,,,,,
Decrescente , Tamanho 100000:,,,,Iguais , Tamanho 100000:,,
Nome da funcao , Trocas ,Comparacoes ,Tempo,,Nome da funcao , Trocas ,Comparacoes ,Tempo
Insertionsort ,705082703 ,705082703 ,17.4605s,,Insertionsort ,0 ,99999 ,0.0003713s
Bubblesort ,704982704 ,704982704 ,70.4138s,,Bubblesort ,0 ,99999 ,0.0002668s
Shakesort ,704982704 , 18446744072619617022 ,71.5789s,,Shakesort ,0 ,99999 ,0.0002745s
Combsort , 243528 ,3766749 ,0.0140203s,,Combsort ,0 ,3766749 ,0.0106168s
Quicksort Iterative ,50000 , 4999950001 ,44.6183s,,Quicksort Iterative ,0 ,99999 ,0.0008785s
Quicksort Original ,Nao Rodou ,Nao Rodou , Nao Rodou,,Quicksort Original ,Nao Rodou ,Nao Rodou , Nao Rodou
Quicksort Random ,Nao Rodou ,Nao Rodou , Nao Rodou,,Quicksort Random ,Nao Rodou ,Nao Rodou , Nao Rodou
